Row ID,Order ID,Order Date,Ship Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin
1,3,2018-10-13,2018-10-20,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,Muhammed MacIntyre,Highland Park,60035,Illinois,Central,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8
14,70,2018-12-17,2018-12-22,Low,48,90.05,0.03,Regular Air,-107,1.86,2.58,Helen Wasserman,East Meadow,11554,New York,East,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",Wrap Bag,0.82
15,70,2018-12-17,2018-12-22,Low,46,7804.53,0.05,Regular Air,2057.166,205.99,5.99,Helen Wasserman,East Meadow,11554,New York,East,Home Office,Technology,Telephones and Communication,3285,Small Box,0.59
17,97,2018-01-28,2018-01-29,Medium,26,75.57,0.03,Regular Air,28.24,2.89,0.5,Craig Yedwab,Prescott Valley,86314,Arizona,West,Consumer,Office Supplies,Labels,Avery 498,Small Box,0.38
22,132,2018-06-10,2018-06-11,Medium,27,192.814,0.03,Regular Air,-86.196,7.99,5.03,Emily Phan,Avenel,07001,New Jersey,East,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6
23,132,2018-06-10,2018-06-13,Medium,30,4011.65,0.05,Delivery Truck,-603.8,130.98,54.74,Emily Phan,Lewiston,04240,Maine,East,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.69
27,193,2018-08-07,2018-08-09,Critical,14,174.89,0.06,Regular Air,-37.04,12.44,6.27,Justin Hirsh,Bethpage,11714,New York,East,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box,0.57
30,195,2018-12-27,2018-12-29,Medium,34,1315.74,0.03,Regular Air,260.87,36.55,13.89,Brad Thomas,Long Beach,90805,California,West,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,0.41
37,229,2018-12-28,2018-12-30,Critical,43,586.11,0.11,Regular Air,98.44,12.64,4.98,Matt Abelman,Blaine,55434,Minnesota,Central,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,0.48
38,229,2018-12-28,2018-12-29,Critical,24,599.1,0.02,Regular Air,3.8165,24.92,12.98,Peter Fuller,Atlanta,30318,Georgia,South,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.39
39,230,2018-10-26,2018-10-28,Critical,47,2029.75,0.06,Regular Air,320.37,43.98,8.99,Erin Creighton,Burleson,76028,Texas,Central,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.58
40,230,2018-10-26,2018-10-28,Critical,11,1118.396,0.06,Regular Air,-212.333,125.99,8.08,Erin Creighton,Burleson,76028,Texas,Central,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Small Box,0.57
42,258,2018-12-28,2018-12-30,Critical,21,154.35,0,Regular Air,-91.14,6.48,8.74,Liz Willingham,Auburn,04210,Maine,East,Home Office,Office Supplies,Paper,Xerox 1984,Small Box,0.36
43,258,2018-12-28,2018-12-29,Critical,7,201.36,0,Delivery Truck,-284.4,20.98,53.03,Liz Willingham,Brunswick,04011,Maine,East,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78
44,258,2018-12-28,2018-12-30,Critical,33,216.77,0.02,Regular Air,-55.108,6.54,5.27,Liz Willingham,Hudson,03051,New Hampshire,East,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,Small Box,0.36
45,261,2018-06-28,2018-06-29,Medium,47,5677.609,0.04,Regular Air,1680.786,140.99,4.2,Sonia Sunley,Garden City,67846,Kansas,Central,Small Business,Technology,Telephones and Communication,7160,Small Box,0.59
51,294,2018-07-15,2018-07-16,Medium,35,6375.28,0.06,Regular Air,489.02,193.17,19.99,Sanjit Chand,Urbandale,50322,Iowa,Central,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,Small Box,0.71
57,325,2018-10-16,2018-10-20,Low,9,884.1275,0.06,Regular Air,-178.706,115.99,4.23,Craig Yedwab,Sanford,04073,Maine,East,Corporate,Technology,Telephones and Communication,282,Small Box,0.56
60,353,2018-12-30,2019-04-01,Low,21,46.94,0.02,Regular Air,3.88,2.21,1,Dean Percer,Redwood City,94061,California,West,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack",Wrap Bag,0.38
62,358,2018-09-19,2018-09-21,High,33,1640.9,0.02,Delivery Truck,-1348.06,48.58,54.11,Ricardo Block,Lewiston,83501,Idaho,West,Corporate,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box,0.69
63,358,2018-09-19,2018-09-19,High,33,1235.87,0.07,Regular Air,269.27,39.48,1.99,Ricardo Block,Lewiston,83501,Idaho,West,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54
69,416,2018-09-26,2018-10-01,Low,20,1156.6715,0.01,Express Air,88.524,65.99,7.69,Stuart Calhoun,Grove City,43123,Ohio,East,Consumer,Technology,Telephones and Communication,5190,Small Box,0.59
85,515,2018-08-28,2018-08-30,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Wheeling,60090,Illinois,Central,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5
86,515,2018-08-28,2018-08-30,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Wilmette,60091,Illinois,Central,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37
94,611,2018-01-26,2018-01-28,Critical,47,840.04,0.04,Regular Air,-131.27,17.7,9.47,Arthur Prichep,Cleveland,44105,Ohio,East,Home Office,Office Supplies,Storage & Organization,Portfile® Personal File Boxes,Small Box,0.59
101,640,2018-01-22,2018-01-23,High,39,4913.69,0.02,Delivery Truck,-1153.9,120.98,58.64,Tamara Chand,Pasadena,77506,Texas,Central,Consumer,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Jumbo Box,0.75
102,640,2018-01-22,2018-01-23,High,24,464.77,0.01,Regular Air,29.42,18.97,9.54,Tamara Chand,Pasadena,77506,Texas,Central,Consumer,Office Supplies,Paper,Xerox 1939,Small Box,0.37
107,678,2018-02-26,2018-02-26,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Rockford,61107,Illinois,Central,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38
109,710,2018-01-01,2018-01-05,Low,42,161.77,0.01,Regular Air,-150.374,3.58,5.47,Susan MacKendrick,Ocoee,34761,Florida,South,Corporate,Office Supplies,Binders and Binder Accessories,Avery Poly Binder Pockets,Small Box,0.37
110,710,2018-01-01,2018-01-03,Low,11,447.09,0.09,Regular Air,89.03,41.32,8.66,Susan MacKendrick,Ocoee,34761,Florida,South,Corporate,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,0.76
111,710,2018-01-01,2018-01-05,Low,29,4192.88,0.02,Delivery Truck,731.32,145.45,17.85,Susan MacKendrick,Ocoee,34761,Florida,South,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56
112,738,2018-03-01,2018-03-03,Not Specified,7,560.51,0.04,Regular Air,32.6,80.98,4.5,Caroline Jumper,White Plains,10605,New York,East,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Small Box,0.59
113,738,2018-03-01,2018-03-02,Not Specified,31,189.95,0.08,Regular Air,-56.68,6.48,5.14,Caroline Jumper,White Plains,10605,New York,East,Corporate,Office Supplies,Paper,Xerox 23,Small Box,0.37
